{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.592148', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.696211', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.800045', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.903057', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:32.007475', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:32.110492', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:32.213610', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:32.317940', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.41, 'datetime': '2018-10-09 09:51:32.421105', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': -0.7, 'roll': 2.72, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.04, 'datetime': '2018-10-09 09:51:32.524142', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': -0.47, 'roll': 2.88, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.69, 'datetime': '2018-10-09 09:51:32.627377', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': -0.21, 'roll': 2.85, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.02, 'datetime': '2018-10-09 09:51:32.730625', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': -0.04, 'roll': 2.89, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -11.03, 'datetime': '2018-10-09 09:51:32.833764', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 0.09, 'roll': 2.98, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -13.84, 'datetime': '2018-10-09 09:51:32.938104', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 0.18, 'roll': 2.99, 'pres': 0}
