{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.5, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.319360', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.5, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.422631', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.525938', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.629895', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.732789', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.840291', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.943866', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:07.046879', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:07.151519', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 6, 'pitch': -10.98, 'roll': -0.3, 'pres': 160}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:07.254664', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 6, 'pitch': -10.98, 'roll': -0.3, 'pres': 160}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:07.357973', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 6, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:07.462585', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 6, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:07.565861', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 6, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
